"","subject","type","item","condition","question","correct_answer","response","rt","group","question_type"
"16","Native 1","gp",14,-0.5,"!","{The_doctor_woke_himself_up}","1",3844,0.5,0.5
"23","Native 1","gp",3,0.5,"!","{The_president}","1",1844,0.5,0.5
"29","Native 1","gp",4,-0.5,"!","{The_friend}","1",2138,0.5,0.5
"33","Native 1","gp",7,0.5,"!","{The_lady}","1",1510,0.5,0.5
"62","Native 1","gp",9,0.5,"!","{The_pianist_calmed_himself_down}","1",3042,0.5,0.5
"68","Native 1","gp",6,-0.5,"!","{The_two_kids_fought_each_other}","1",3319,0.5,0.5
"75","Native 1","gp",5,0.5,"!","{The_father_washed_the_boy}","0",2108,0.5,0.5
"89","Native 1","gp",20,-0.5,"!","{The_man}","1",1897,0.5,0.5
"92","Native 1","gp",19,0.5,"!","{The_basketball_player}","1",2853,0.5,0.5
"100","Native 1","gp",17,0.5,"!","{The_two_men_fought_each_other}","1",3400,0.5,0.5
"106","Native 1","gp",2,-0.5,"!","{The_mother_dressed_herself}","1",3563,0.5,0.5
"112","Native 1","gp",12,-0.5,"!","{The_baby}","1",1747,0.5,0.5
"116","Native 1","gp",18,-0.5,"!","{The_father_washed_himself}","1",2748,0.5,0.5
"126","Native 1","gp",1,0.5,"!","{The_lawyer_calmed_himself_down}","1",4765,0.5,0.5
"130","Native 1","gp",10,-0.5,"!","{The_two_soldiers_fought_each_other}","1",3444,0.5,0.5
"133","Native 1","gp",11,0.5,"!","{The_friend}","1",1691,0.5,0.5
"136","Native 1","gp",13,0.5,"!","{The_girl_calmed_herself_down}","1",1904,0.5,0.5
"140","Native 1","gp",24,-0.5,"!","{The_director}","1",2375,0.5,0.5
"144","Native 1","gp",16,-0.5,"!","{The_assistant}","1",1960,0.5,0.5
"147","Native 1","gp",21,0.5,"!","{Anna_dressed_herself}","1",1626,0.5,0.5
"151","Native 1","gp",22,-0.5,"!","{The_two_footballers_fought_each_other}","1",2226,0.5,0.5
"159","Native 1","gp",15,0.5,"!","{The_boy}","1",3248,0.5,0.5
"171","Native 1","gp",23,0.5,"!","{The_child}","1",4003,0.5,0.5
"175","Native 1","gp",8,-0.5,"!","{The_boy}","1",1513,0.5,0.5
"195","Native 2","gp",16,0.5,"!","{The_researcher_woke_himself_up}","1",3657,0.5,0.5
"202","Native 2","gp",17,-0.5,"!","{The_two_men_fought_each_other}","1",2911,0.5,0.5
"209","Native 2","gp",4,0.5,"!","{The_two_children_hugged_their_friend}","0",2561,0.5,0.5
"217","Native 2","gp",15,-0.5,"!","{The_boy}","1",1028,0.5,0.5
"223","Native 2","gp",2,0.5,"!","{The_mother}","0",2794,0.5,0.5
"230","Native 2","gp",10,0.5,"!","{The_two_soldiers}","0",1124,0.5,0.5
"241","Native 2","gp",6,0.5,"!","{The_neighbour}","1",972,0.5,0.5
"247","Native 2","gp",19,-0.5,"!","{The_basketball_player}","1",1542,0.5,0.5
"261","Native 2","gp",20,0.5,"!","{The_two_friends_met_each_other}","1",2585,0.5,0.5
"265","Native 2","gp",14,0.5,"!","{The_nurse}","1",1586,0.5,0.5
"269","Native 2","gp",8,0.5,"!","{Mary_dressed_the_boy}","0",1956,0.5,0.5
"275","Native 2","gp",1,-0.5,"!","{The_lawyer_calmed_himself_down}","1",2505,0.5,0.5
"286","Native 2","gp",12,0.5,"!","{The_nurse_washed_the_baby}","0",2174,0.5,0.5
"289","Native 2","gp",24,0.5,"!","{The_two_actresses_met_the_director}","0",2652,0.5,0.5
"293","Native 2","gp",3,-0.5,"!","{The_president}","1",1444,0.5,0.5
"297","Native 2","gp",23,-0.5,"!","{The_child}","1",1108,0.5,0.5
"307","Native 2","gp",9,-0.5,"!","{The_pianist_calmed_himself_down}","1",3468,0.5,0.5
"314","Native 2","gp",5,-0.5,"!","{The_father_washed_himself}","1",1921,0.5,0.5
"324","Native 2","gp",11,-0.5,"!","{The_friend}","1",1136,0.5,0.5
"342","Native 2","gp",21,-0.5,"!","{Anna_dressed_herself}","1",1236,0.5,0.5
"345","Native 2","gp",18,0.5,"!","{The_baby}","1",2386,0.5,0.5
"348","Native 2","gp",22,0.5,"!","{The_coach}","1",2255,0.5,0.5
"352","Native 2","gp",13,-0.5,"!","{The_girl_calmed_herself_down}","1",1454,0.5,0.5
"359","Native 2","gp",7,-0.5,"!","{The_lady}","1",953,0.5,0.5
"379","Native 3","gp",4,-0.5,"!","{The_two_children_hugged_each_other}","1",4729,0.5,0.5
"382","Native 3","gp",20,-0.5,"!","{The_two_friends_met_each_other}","1",3223,0.5,0.5
"394","Native 3","gp",12,-0.5,"!","{The_nurse_washed_herself}","1",3367,0.5,0.5
"401","Native 3","gp",18,-0.5,"!","{The_baby}","1",1989,0.5,0.5
"405","Native 3","gp",22,-0.5,"!","{The_coach}","1",2556,0.5,0.5
"409","Native 3","gp",9,0.5,"!","{The_pianist}","0",12669,0.5,0.5
"412","Native 3","gp",6,-0.5,"!","{The_neighbour}","1",1922,0.5,0.5
"427","Native 3","gp",13,0.5,"!","{The_boy}","1",1870,0.5,0.5
"430","Native 3","gp",24,-0.5,"!","{The_two_actresses_met_each_other}","1",2743,0.5,0.5
"436","Native 3","gp",15,0.5,"!","{The_aunt_dressed_herself}","1",2633,0.5,0.5
"448","Native 3","gp",23,0.5,"!","{The_mother_washed_herself}","1",1790,0.5,0.5
"456","Native 3","gp",1,0.5,"!","{The_man}","1",1631,0.5,0.5
"471","Native 3","gp",14,-0.5,"!","{The_nurse}","1",1757,0.5,0.5
"478","Native 3","gp",7,0.5,"!","{The_man_woke_himself_up}","1",3518,0.5,0.5
"482","Native 3","gp",16,-0.5,"!","{The_researcher_woke_himself_up}","1",2973,0.5,0.5
"499","Native 3","gp",11,0.5,"!","{The_lady_woke_herself_up}","1",2909,0.5,0.5
"502","Native 3","gp",21,0.5,"!","{The_child}","1",2411,0.5,0.5
"508","Native 3","gp",19,0.5,"!","{The_coach_calmed_himself_down}","1",3495,0.5,0.5
"519","Native 3","gp",5,0.5,"!","{The_boy}","1",3324,0.5,0.5
"525","Native 3","gp",3,0.5,"!","{The_two_journalists_met_each_other}","1",2618,0.5,0.5
"529","Native 3","gp",10,-0.5,"!","{The_General}","1",2177,0.5,0.5
"532","Native 3","gp",17,0.5,"!","{The_terrorist}","1",2360,0.5,0.5
"535","Native 3","gp",8,-0.5,"!","{Mary_dressed_herself}","1",3633,0.5,0.5
"538","Native 3","gp",2,-0.5,"!","{The_baby}","1",1910,0.5,0.5
"559","Native 4","gp",11,-0.5,"!","{The_lady_woke_herself_up}","1",2515,0.5,0.5
"562","Native 4","gp",12,0.5,"!","{The_baby}","1",1212,0.5,0.5
"571","Native 4","gp",21,-0.5,"!","{The_child}","1",1585,0.5,0.5
"574","Native 4","gp",24,0.5,"!","{The_actresses}","0",2472,0.5,0.5
"578","Native 4","gp",17,-0.5,"!","{The_terrorist}","1",1088,0.5,0.5
"585","Native 4","gp",6,0.5,"!","{The_two_kids_fought_each_other}","1",2739,0.5,0.5
